"Season","Id","Name","Position","Team","Conference","Usage Overall","Usage Pass","Usage Rush","Usage FirstDown","Usage SecondDown","Usage ThirdDown","Usage StandardDowns","Usage PassingDowns"
"2025","5219242","Marcus Brown","WR","Stanford","ACC","0.043","0.08","0","0.012","0.038","0.1","0.015","0.099"
"2025","5220007","Tank Boston","WR","NC State","ACC","0.051","0.088","0","0.03","0.056","0.143","0.023","0.133"
"2025","5220011","Dante Daniels","TE","NC State","ACC","0.023","0.047","0","0.035","0.011","0.019","0.033","0"
"2025","5220614","Jacob Stewart","TE","Louisville","ACC","0.016","0.029","0","0.012","0.016","0.026","0.007","0.035"
"2025","5220893","Elijah Washington-Baker","TE","Syracuse","ACC","0.014","0.029","0","0","0.042","0","0","0.034"
"2025","5222676","Brady Clough","TE","Boston College","ACC","0.013","0.024","0","0","0","0.056","0.016","0"
"2025","5225740","Tristan Smith","WR","Clemson","ACC","0.054","0.098","0","0.048","0.037","0.091","0.049","0.068"
"2025","5228607","Demon June","RB","North Carolina","ACC","0.16","0.058","0.282","0.179","0.201","0.077","0.176","0.12"
"2025","5231354","Caden High","WR","Stanford","ACC","0.068","0.125","0.003","0.048","0.07","0.094","0.043","0.118"
"2025","5239156","Jack Foley","WR","Wake Forest","ACC","0.029","0.059","0","0.032","0.045","0","0.022","0.043"
"2025","5250264","Kaelan Chudzinski","TE","Boston College","ACC","0.049","0.086","0","0.043","0.032","0.092","0.041","0.07"
"2025","5260847","Marcellous Hawkins","RB","Virginia Tech","ACC","0.174","0.051","0.287","0.214","0.16","0.113","0.216","0.09"
"2025","5261613","Tylik Hill","RB","Syracuse","ACC","0.062","0.007","0.108","0.101","0.054","0","0.09","0"
"2025","5265128","Shanard Clower","WR","North Carolina","ACC","0.06","0.096","0.009","0.048","0.068","0.063","0.068","0.043"
"2025","5294076","Greyson Labiad","TE","Florida State","ACC","0.026","0.08","0","0.049","0","0","0.031","0"
"2025","5294114","Owen Gardner","RB","Virginia","ACC","0.024","0","0.04","0.049","0","0","0.032","0"
"2025","5295336","Link Rhodes","WR","SMU","ACC","0.018","0.025","0.011","0.022","0.017","0.014","0.016","0.023"
"2025","5296066","Ethan Dowdy","WR","NC State","ACC","0.051","0.088","0","0.03","0.056","0.143","0.045","0.067"
"2025","5296067","Teddy Hoffmann","WR","NC State","ACC","0.04","0.08","0","0.028","0.052","0.057","0.037","0.048"
"2025","5296136","Braxton Jennings","RB","Louisville","ACC","0.158","0.027","0.28","0.157","0.19","0.109","0.173","0.105"
"2025","5296232","Justin Cook","RB","Pittsburgh","ACC","0.09","0.086","0.105","0.088","0.091","0.089","0.102","0.068"
"2025","5297026","Joseph Filardi","QB","Syracuse","ACC","0.336","0.642","0.132","0.245","0.364","0.452","0.237","0.527"
