player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome,CAR,YPC,rushing_score
Elijah Jackson-Anderson,Eastern Michigan,Mid-American,2022,rushing,4832021,RB,1,,0,1,,elijah jacksonanderson,RB,114812,4832021.0,HighSchool,2022.0,1316.0,Elijah Jackson-Anderson,Grand Blanc Community,Eastern Michigan,RB,70.0,180.0,3.0,0.8489,Grand Blanc,MI,USA,"{'latitude': 42.9275277, 'longitude': -83.6299518, 'fipsCode': '26049'}",2022.0,1.0,eastern michigan,eastern michigan,1,0,,0.5007849293563579,0.0196232339089481,0.212087912087912,0.0196232339089481,Bust,1.0,1.0,3.0
Elijah Jackson-Anderson,Eastern Michigan,Mid-American,2024,rushing,4832021,RB,40,,2,218,,elijah jacksonanderson,RB,114812,4832021.0,HighSchool,2022.0,1316.0,Elijah Jackson-Anderson,Grand Blanc Community,Eastern Michigan,RB,70.0,180.0,3.0,0.8489,Grand Blanc,MI,USA,"{'latitude': 42.9275277, 'longitude': -83.6299518, 'fipsCode': '26049'}",2022.0,3.0,eastern michigan,eastern michigan,1,0,,0.5007739938080495,0.4984520123839009,0.4993808049535604,0.4984520123839009,Depth / Rotation,54.0,4.0,366.0
Elijah Jackson-Anderson,Wofford,Southern,2025,rushing,4832021,RB,68,,2,610,,elijah jacksonanderson,RB,114812,4832021.0,HighSchool,2022.0,1316.0,Elijah Jackson-Anderson,Grand Blanc Community,Eastern Michigan,RB,70.0,180.0,3.0,0.8489,Grand Blanc,MI,USA,"{'latitude': 42.9275277, 'longitude': -83.6299518, 'fipsCode': '26049'}",2022.0,4.0,wofford,eastern michigan,0,0,,0.5010224948875256,0.7382413087934561,0.6433537832310838,0.7382413087934561,Starter,118.0,5.2,886.0
Elijah Jennings,Monmouth,CAA,2025,rushing,5226671,RB,32,,6,320,,elijah jennings,RB,110398,,HighSchool,2024.0,1793.0,Elijah Jennings,Pennsauken,Monmouth,RB,68.0,160.0,3.0,0.8447,Pennsauken,NJ,USA,"{'latitude': 39.9562238, 'longitude': -75.0579502, 'fipsCode': '34007'}",2024.0,2.0,monmouth,monmouth,1,0,,0.5006544502617801,0.6910994764397905,0.6149214659685864,0.6910994764397905,Starter,70.0,4.6,580.0
Elijah Porter,Northern Illinois,Mid-American,2025,rushing,5219932,RB,16,,0,80,,elijah porter,RB,238529,,HighSchool,2024.0,3084.0,Elijah Porter,Ankeny Centennial,,RB,71.0,170.0,2.0,0.78,Ankeny,IA,USA,"{'latitude': 41.7318715, 'longitude': -93.6003837, 'fipsCode': '19153'}",2024.0,2.0,northern illinois,,0,0,,0.5006544502617801,0.293848167539267,0.3765706806282722,0.293848167539267,Depth / Rotation,12.0,6.7,104.0
Elisha Cummings,Idaho,Big Sky,2021,rushing,4887438,RB,17,,0,28,,elisha cummings,RB,118407,4887438.0,HighSchool,2021.0,2720.0,Elisha Cummings,Reicher Catholic,Idaho,RB,69.0,180.0,2.0,0.7444,Waco,TX,USA,"{'latitude': 31.549333, 'longitude': -97.1466695, 'fipsCode': '48309'}",2021.0,1.0,idaho,idaho,1,0,,0.5007849293563579,0.3233908948194662,0.3943485086342229,0.3233908948194662,Depth / Rotation,16.0,1.8,60.0
Elisha Cummings,Idaho,Big Sky,2022,rushing,4887438,RB,27,,4,435,,elisha cummings,RB,118407,4887438.0,HighSchool,2021.0,2720.0,Elisha Cummings,Reicher Catholic,Idaho,RB,69.0,180.0,2.0,0.7444,Waco,TX,USA,"{'latitude': 31.549333, 'longitude': -97.1466695, 'fipsCode': '48309'}",2021.0,2.0,idaho,idaho,1,0,,0.5006544502617801,0.7369109947643979,0.6424083769633508,0.7369109947643979,Starter,86.0,5.1,687.0
Elisha Cummings,Idaho,Big Sky,2024,rushing,4887438,RB,43,,1,528,,elisha cummings,RB,118407,4887438.0,HighSchool,2021.0,2720.0,Elisha Cummings,Reicher Catholic,Idaho,RB,69.0,180.0,2.0,0.7444,Waco,TX,USA,"{'latitude': 31.549333, 'longitude': -97.1466695, 'fipsCode': '48309'}",2021.0,4.0,idaho,idaho,1,0,,0.5010224948875256,0.6625766871165644,0.5979550102249489,0.6625766871165644,Starter,99.0,5.3,746.0
Elisha Cummings,Idaho,Big Sky,2025,rushing,4887438,RB,44,,2,365,,elisha cummings,RB,118407,4887438.0,HighSchool,2021.0,2720.0,Elisha Cummings,Reicher Catholic,Idaho,RB,69.0,180.0,2.0,0.7444,Waco,TX,USA,"{'latitude': 31.549333, 'longitude': -97.1466695, 'fipsCode': '48309'}",2021.0,5.0,idaho,idaho,1,0,,0.5016233766233766,0.5714285714285714,0.5435064935064935,0.5714285714285714,Depth / Rotation,71.0,5.1,547.0
Ellis Bynum,Prairie View A&M,SWAC,2025,rushing,5088564,RB,8,,0,12,,ellis bynum,RB,234936,5088564.0,HighSchool,2022.0,2364.0,Ellis Bynum,Central Catholic,Oregon,RB,69.0,185.0,3.0,0.8,Portland,OR,USA,"{'latitude': 45.5202471, 'longitude': -122.6741949, 'fipsCode': '41051'}",2022.0,4.0,prairie view a&m,oregon,0,0,,0.5010224948875256,0.0572597137014314,0.2347648261758691,0.0572597137014314,Bust,5.0,2.4,22.0
Emani Bailey,Louisiana,Sun Belt,2020,rushing,4565761,RB,25,,0,60,,emani bailey,RB,119693,4565761.0,HighSchool,2020.0,1310.0,Emani Bailey,Denton Ryan,Louisiana,RB,69.0,200.0,3.0,0.8467,Denton,TX,USA,"{'latitude': 33.2150386, 'longitude': -97.1330516, 'fipsCode': '48121'}",2020.0,1.0,louisiana,louisiana,1,0,,0.5007849293563579,0.3869701726844584,0.4324960753532182,0.3869701726844584,Depth / Rotation,10.0,6.0,80.0
Emani Bailey,Louisiana,Sun Belt,2021,rushing,4565761,RB,35,,8,642,,emani bailey,RB,119693,4565761.0,HighSchool,2020.0,1310.0,Emani Bailey,Denton Ryan,Louisiana,RB,69.0,200.0,3.0,0.8467,Denton,TX,USA,"{'latitude': 33.2150386, 'longitude': -97.1330516, 'fipsCode': '48121'}",2020.0,2.0,louisiana,louisiana,1,0,,0.5006544502617801,0.8632198952879581,0.7181937172774869,0.8632198952879581,Impact Player,102.0,6.3,1006.0
