player,team,conference,season,category,playerId,position_stat,CAR,LONG,TD,YDS,YPC,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,rushing_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
Sampson James,Indiana,Big Ten,2019,rushing,4426469,RB,81,30,3,275,3.4,sampson james,RB,122459,4426469,HighSchool,2019.0,182.0,Sampson James,Avon,Indiana,RB,73.0,211.0,4.0,0.9255,Avon,IN,USA,"{'latitude': 39.7628227, 'longitude': -86.3997168, 'fipsCode': '18063'}",2019.0,1.0,indiana,indiana,1,0,497,0.5007849293563579,0.8124018838304553,0.6877551020408164,0.8124018838304553,Starter
Sampson James,Indiana,Big Ten,2020,rushing,4426469,RB,32,16,0,96,3.0,sampson james,RB,122459,4426469,HighSchool,2019.0,182.0,Sampson James,Avon,Indiana,RB,73.0,211.0,4.0,0.9255,Avon,IN,USA,"{'latitude': 39.7628227, 'longitude': -86.3997168, 'fipsCode': '18063'}",2019.0,2.0,indiana,indiana,1,0,160,0.5006544502617801,0.37107329842931935,0.42290575916230366,0.37107329842931935,Depth / Rotation
Savion Hart,Georgetown,Patriot,2024,rushing,5225717,RB,45,40,2,278,6.2,savion hart,RB,110637,5225717,HighSchool,2024.0,2096.0,Savion Hart,St. Thomas Academy,Georgetown,RB,71.0,200.0,3.0,0.835,Saint Paul,MN,USA,"{'latitude': 44.9504037, 'longitude': -93.1015026, 'fipsCode': '27123'}",2024.0,1.0,georgetown,georgetown,1,0,408,0.5007849293563579,0.7551020408163265,0.6533751962323391,0.7551020408163265,Starter
Savion Hart,Georgetown,Patriot,2025,rushing,5225717,RB,175,69,10,816,4.7,savion hart,RB,110637,5225717,HighSchool,2024.0,2096.0,Savion Hart,St. Thomas Academy,Georgetown,RB,71.0,200.0,3.0,0.835,Saint Paul,MN,USA,"{'latitude': 44.9504037, 'longitude': -93.1015026, 'fipsCode': '27123'}",2024.0,2.0,georgetown,georgetown,1,0,1366,0.5006544502617801,0.9352094240837696,0.7613874345549738,0.9352094240837696,Impact Player
Sawyer Seidl,North Dakota,MVFC,2023,rushing,5155532,RB,16,22,0,84,5.3,sawyer seidl,RB,257017,5155532,HighSchool,2023.0,,Sawyer Seidl,Hill-Murray,North Dakota,RB,70.0,165.0,,,Maplewood,MN,USA,"{'latitude': 44.9533351, 'longitude': -92.9953373, 'fipsCode': '27123'}",2023.0,1.0,north dakota,north dakota,1,0,116,0.5007849293563579,0.47017268445839877,0.4824175824175824,0.47017268445839877,Depth / Rotation
Sawyer Seidl,North Dakota,MVFC,2024,rushing,5155532,RB,91,70,3,494,5.4,sawyer seidl,RB,257017,5155532,HighSchool,2023.0,,Sawyer Seidl,Hill-Murray,North Dakota,RB,70.0,165.0,,,Maplewood,MN,USA,"{'latitude': 44.9533351, 'longitude': -92.9953373, 'fipsCode': '27123'}",2023.0,2.0,north dakota,north dakota,1,0,736,0.5006544502617801,0.7578534031413613,0.6549738219895288,0.7578534031413613,Starter
Sawyer Seidl,North Dakota,MVFC,2025,rushing,5155532,RB,188,41,13,897,4.8,sawyer seidl,RB,257017,5155532,HighSchool,2023.0,,Sawyer Seidl,Hill-Murray,North Dakota,RB,70.0,165.0,,,Maplewood,MN,USA,"{'latitude': 44.9533351, 'longitude': -92.9953373, 'fipsCode': '27123'}",2023.0,3.0,north dakota,north dakota,1,0,1533,0.5007739938080495,0.9024767801857585,0.7417956656346749,0.9024767801857585,Impact Player
Scottre Humphrey,Montana State,Big Sky,2023,rushing,5166161,RB,54,74,8,433,8.0,scottre humphrey,RB,217031,5166161,HighSchool,2023.0,1953.0,Scottre Humphrey,Rainier Beach,Montana State,RB,71.0,210.0,3.0,0.83,Seattle,WA,USA,"{'latitude': 47.6038321, 'longitude': -122.3300624, 'fipsCode': '53033'}",2023.0,1.0,montana state,montana state,1,0,701,0.5007849293563579,0.8916797488226059,0.7353218210361067,0.8916797488226059,Impact Player
Scottre Humphrey,Montana State,Big Sky,2024,rushing,5166161,RB,199,79,16,1393,7.0,scottre humphrey,RB,217031,5166161,HighSchool,2023.0,1953.0,Scottre Humphrey,Rainier Beach,Montana State,RB,71.0,210.0,3.0,0.83,Seattle,WA,USA,"{'latitude': 47.6038321, 'longitude': -122.3300624, 'fipsCode': '53033'}",2023.0,2.0,montana state,montana state,1,0,2111,0.5006544502617801,0.9895287958115183,0.793979057591623,0.9895287958115183,Impact Player
Scottre Humphrey,New Mexico,Mountain West,2025,rushing,5166161,RB,77,61,5,349,4.5,scottre humphrey,RB,217031,5166161,HighSchool,2023.0,1953.0,Scottre Humphrey,Rainier Beach,Montana State,RB,71.0,210.0,3.0,0.83,Seattle,WA,USA,"{'latitude': 47.6038321, 'longitude': -122.3300624, 'fipsCode': '53033'}",2023.0,3.0,new mexico,montana state,0,0,603,0.5007739938080495,0.6207430340557275,0.5727554179566563,0.6207430340557275,Starter
