player,team,conference,season,category,playerId,position_stat,LONG,REC,TD,YDS,YPR,name_clean,position_clean,id,athleteId,recruitType,year,ranking,name,school,committedTo,position_recruit,height,weight,stars,rating,city,stateProvince,country,hometownInfo,recruit_year,eligibility_year,team_clean,committed_clean,school_match,Usage Overall,receiving_score,usage_pct,production_pct,impact_score,impact_percentile,outcome
Warren Thompson,Arkansas,SEC,2021,receiving,4363030,WR,60,19,2,304,16.0,warren thompson,WR,126426,4363030,HighSchool,2018.0,157.0,Warren Thompson,Armwood,Florida State,WR,75.0,200.0,4.0,0.9361,Seffner,FL,USA,"{'latitude': 27.998541000000003, 'longitude': -82.27488400114905, 'fipsCode': '12057'}",2018.0,4.0,arkansas,florida state,0,0,439,0.5004985044865404,0.6071784646061814,0.564506480558325,0.6071784646061814,Starter
Warren Thompson,Arkansas,SEC,2022,receiving,4363030,WR,56,12,2,178,14.8,warren thompson,WR,126426,4363030,HighSchool,2018.0,157.0,Warren Thompson,Armwood,Florida State,WR,75.0,200.0,4.0,0.9361,Seffner,FL,USA,"{'latitude': 27.998541000000003, 'longitude': -82.27488400114905, 'fipsCode': '12057'}",2018.0,5.0,arkansas,florida state,0,0,278,0.5006784260515604,0.4633649932157395,0.47829036635006783,0.4633649932157395,Depth / Rotation
Wayne Harris,Kent State,Mid-American,2024,receiving,5147053,WR,7,3,0,19,6.3,wayne harris,WR,111082,5147053,HighSchool,2024.0,2398.0,Wayne Harris,Huntington,Kent State,WR,70.0,170.0,3.0,0.8137,Huntington,WV,USA,"{'latitude': 38.4192496, 'longitude': -82.445154, 'fipsCode': '54011'}",2024.0,1.0,kent state,kent state,1,0,34,0.5005753739930955,0.3049482163406214,0.383199079401611,0.3049482163406214,Depth / Rotation
Wayne Harris,Kent State,Mid-American,2025,receiving,5147053,WR,42,35,1,383,10.9,wayne harris,WR,111082,5147053,HighSchool,2024.0,2398.0,Wayne Harris,Huntington,Kent State,WR,70.0,170.0,3.0,0.8137,Huntington,WV,USA,"{'latitude': 38.4192496, 'longitude': -82.445154, 'fipsCode': '54011'}",2024.0,2.0,kent state,kent state,1,0,578,0.5003996802557954,0.8393285371702638,0.7037569944044764,0.8393285371702638,Starter
Wesley Grimes,Wake Forest,ACC,2022,receiving,4888723,WR,13,4,1,33,8.3,wesley grimes,WR,113869,4888723,HighSchool,2022.0,326.0,Wesley Grimes,Millbrook,Wake Forest,WR,74.0,180.0,4.0,0.8996,Raleigh,NC,USA,"{'latitude': 35.7803977, 'longitude': -78.6390989, 'fipsCode': '37183'}",2022.0,1.0,wake forest,wake forest,1,0,73,0.5005753739930955,0.4579976985040276,0.4750287686996547,0.4579976985040276,Depth / Rotation
Wesley Grimes,Wake Forest,ACC,2023,receiving,4888723,WR,49,20,4,339,17.0,wesley grimes,WR,113869,4888723,HighSchool,2022.0,326.0,Wesley Grimes,Millbrook,Wake Forest,WR,74.0,180.0,4.0,0.8996,Raleigh,NC,USA,"{'latitude': 35.7803977, 'longitude': -78.6390989, 'fipsCode': '37183'}",2022.0,2.0,wake forest,wake forest,1,0,519,0.5003996802557954,0.8149480415667466,0.6891286970423661,0.8149480415667466,Starter
Wesley Grimes,NC State,ACC,2024,receiving,4888723,WR,30,24,1,319,13.3,wesley grimes,WR,113869,4888723,HighSchool,2022.0,326.0,Wesley Grimes,Millbrook,Wake Forest,WR,74.0,180.0,4.0,0.8996,Raleigh,NC,USA,"{'latitude': 35.7803977, 'longitude': -78.6390989, 'fipsCode': '37183'}",2022.0,3.0,nc state,wake forest,0,0,459,0.5004132231404959,0.6987603305785124,0.6194214876033057,0.6987603305785124,Starter
Wesley Grimes,NC State,ACC,2025,receiving,4888723,WR,48,31,3,458,14.8,wesley grimes,WR,113869,4888723,HighSchool,2022.0,326.0,Wesley Grimes,Millbrook,Wake Forest,WR,74.0,180.0,4.0,0.8996,Raleigh,NC,USA,"{'latitude': 35.7803977, 'longitude': -78.6390989, 'fipsCode': '37183'}",2022.0,4.0,nc state,wake forest,0,0,673,0.5004985044865404,0.7557328015952144,0.6536390827517448,0.7557328015952144,Starter
Will Anciaux,Kansas State,Big 12,2024,receiving,4920187,TE,24,7,3,62,8.9,will anciaux,TE,112549,4920187,HighSchool,2023.0,1315.0,Will Anciaux,Kapaun Mt. Carmel,Kansas State,TE,78.0,220.0,3.0,0.8531,Wichita,KS,USA,"{'latitude': 37.6922361, 'longitude': -97.3375448, 'fipsCode': '20173'}",2023.0,2.0,kansas state,kansas state,1,0,157,0.5003996802557954,0.5063948840927258,0.5039968025579536,0.5063948840927258,Depth / Rotation
Will Anciaux,Kansas State,Big 12,2025,receiving,4920187,TE,25,6,1,45,7.5,will anciaux,TE,112549,4920187,HighSchool,2023.0,1315.0,Will Anciaux,Kapaun Mt. Carmel,Kansas State,TE,78.0,220.0,3.0,0.8531,Wichita,KS,USA,"{'latitude': 37.6922361, 'longitude': -97.3375448, 'fipsCode': '20173'}",2023.0,3.0,kansas state,kansas state,1,0,95,0.5004132231404959,0.33347107438016527,0.4002479338842975,0.33347107438016527,Depth / Rotation
Will Cianfrini,San Diego State,Mountain West,2025,receiving,5146720,WR,12,5,0,40,8.0,will cianfrini,WR,109824,5146720,HighSchool,2024.0,1142.0,Will Cianfrini,Carlsbad,San Diego State,WR,76.0,180.0,3.0,0.8625,Carlsbad,CA,USA,"{'latitude': 33.1580933, 'longitude': -117.3505966, 'fipsCode': '06073'}",2024.0,2.0,san diego state,san diego state,1,0,65,0.5003996802557954,0.2917665867306155,0.37521982414068744,0.2917665867306155,Depth / Rotation
Will Dixon,Rhode Island,CAA,2025,receiving,5100583,TE,2,1,1,2,2.0,will dixon,TE,114980,5100583,HighSchool,2022.0,1463.0,Will Dixon,Blair Academy,West Virginia,TE,77.0,230.0,3.0,0.8417,Hillsborough,NJ,USA,"{'latitude': 40.498516, 'longitude': -74.69516247480118, 'fipsCode': '34035'}",2022.0,4.0,rhode island,west virginia,0,0,27,0.5004985044865404,0.09322033898305085,0.25613160518444666,0.09322033898305085,Bust
Will Huggins,Kansas,Big 12,2020,receiving,4686380,TE,20,1,1,20,20.0,will huggins,TE,119433,,HighSchool,2020.0,1043.0,Will Huggins,Shawnee Mission South,,TE,79.0,235.0,3.0,0.8556,Overland Park,KS,USA,"{'latitude': 38.9742502, 'longitude': -94.6851702, 'fipsCode': '20091'}",2020.0,1.0,kansas,none,0,0,45,0.5005753739930955,0.3670886075949367,0.42048331415420026,0.3670886075949367,Depth / Rotation
Will Kenner,Cornell,Ivy,2022,receiving,4694400,WR,19,12,0,107,8.9,will kenner,WR,121819,,HighSchool,2020.0,3396.0,Will Kenner,St. Margaret's Episcopal School,Cornell,WR,75.0,195.0,2.0,0.78,San Juan Capistrano,CA,USA,"{'latitude': 33.5016932, 'longitude': -117.6625509, 'fipsCode': '06059'}",2020.0,3.0,cornell,cornell,1,0,167,0.5004132231404959,0.44834710743801653,0.46917355371900826,0.44834710743801653,Depth / Rotation
Will Mallory,Miami,ACC,2018,receiving,4362523,TE,13,5,1,37,7.4,will mallory,TE,126480,4362523,HighSchool,2018.0,211.0,Will Mallory,Providence,Miami,TE,77.0,207.0,4.0,0.9183,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}",2018.0,1.0,miami,miami,1,0,82,0.5005753739930955,0.48504027617951667,0.49125431530494823,0.48504027617951667,Depth / Rotation
Will Mallory,Miami,ACC,2019,receiving,4362523,TE,38,16,2,293,18.3,will mallory,TE,126480,4362523,HighSchool,2018.0,211.0,Will Mallory,Providence,Miami,TE,77.0,207.0,4.0,0.9183,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}",2018.0,2.0,miami,miami,1,0,413,0.5003996802557954,0.7609912070343725,0.6567545963229416,0.7609912070343725,Starter
Will Mallory,Miami,ACC,2020,receiving,4362523,TE,45,22,4,329,15.0,will mallory,TE,126480,4362523,HighSchool,2018.0,211.0,Will Mallory,Providence,Miami,TE,77.0,207.0,4.0,0.9183,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}",2018.0,3.0,miami,miami,1,0,519,0.5004132231404959,0.7334710743801653,0.6402479338842976,0.7334710743801653,Starter
Will Mallory,Miami,ACC,2021,receiving,4362523,TE,57,30,4,347,11.6,will mallory,TE,126480,4362523,HighSchool,2018.0,211.0,Will Mallory,Providence,Miami,TE,77.0,207.0,4.0,0.9183,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}",2018.0,4.0,miami,miami,1,0,577,0.5004985044865404,0.7043868394815553,0.6228315054835494,0.7043868394815553,Starter
Will Mallory,Miami,ACC,2022,receiving,4362523,TE,39,42,3,538,12.8,will mallory,TE,126480,4362523,HighSchool,2018.0,211.0,Will Mallory,Providence,Miami,TE,77.0,207.0,4.0,0.9183,Jacksonville,FL,USA,"{'latitude': 30.3321838, 'longitude': -81.655651, 'fipsCode': '12031'}",2018.0,5.0,miami,miami,1,0,808,0.5006784260515604,0.8344640434192673,0.7009497964721845,0.8344640434192673,Starter
Will Monney,Utah State,Mountain West,2023,receiving,5114312,TE,3,1,0,3,3.0,will monney,TE,113508,5114312,HighSchool,2023.0,2272.0,Will Monney,Springville,Utah State,TE,76.0,205.0,3.0,0.7983,Springville,UT,USA,"{'latitude': 40.1668572, 'longitude': -111.6109221, 'fipsCode': '49049'}",2023.0,1.0,utah state,utah state,1,0,8,0.5005753739930955,0.04200230149597238,0.22543153049482162,0.04200230149597238,Bust
Will Monney,Utah State,Mountain West,2024,receiving,5114312,TE,31,11,1,138,12.5,will monney,TE,113508,5114312,HighSchool,2023.0,2272.0,Will Monney,Springville,Utah State,TE,76.0,205.0,3.0,0.7983,Springville,UT,USA,"{'latitude': 40.1668572, 'longitude': -111.6109221, 'fipsCode': '49049'}",2023.0,2.0,utah state,utah state,1,0,213,0.5003996802557954,0.5927258193445244,0.5557953637090328,0.5927258193445244,Depth / Rotation
Will Monney,Oklahoma State,Big 12,2025,receiving,5114312,TE,23,3,0,39,13.0,will monney,TE,113508,5114312,HighSchool,2023.0,2272.0,Will Monney,Springville,Utah State,TE,76.0,205.0,3.0,0.7983,Springville,UT,USA,"{'latitude': 40.1668572, 'longitude': -111.6109221, 'fipsCode': '49049'}",2023.0,3.0,oklahoma state,utah state,0,0,54,0.5004132231404959,0.23512396694214877,0.34123966942148765,0.23512396694214877,Bust
Will Pauling,Cincinnati,American Athletic,2021,receiving,4683114,WR,6,1,0,6,6.0,will pauling,WR,116870,,HighSchool,2021.0,1157.0,Will Pauling,Homewood-Flossmoor,,WR,70.0,165.0,3.0,0.8511,Flossmoor,IL,USA,"{'latitude': 41.5428123, 'longitude': -87.6847684, 'fipsCode': '17031'}",2021.0,1.0,cincinnati,none,0,0,11,0.5005753739930955,0.08227848101265822,0.24959723820483312,0.08227848101265822,Bust
Will Pauling,Cincinnati,American Athletic,2022,receiving,4683114,WR,30,12,0,122,10.2,will pauling,WR,116870,,HighSchool,2021.0,1157.0,Will Pauling,Homewood-Flossmoor,,WR,70.0,165.0,3.0,0.8511,Flossmoor,IL,USA,"{'latitude': 41.5428123, 'longitude': -87.6847684, 'fipsCode': '17031'}",2021.0,2.0,cincinnati,none,0,0,182,0.5003996802557954,0.5411670663469225,0.5248601119104717,0.5411670663469225,Depth / Rotation
Will Pauling,Wisconsin,Big Ten,2023,receiving,4683114,WR,53,74,6,837,11.3,will pauling,WR,116870,,HighSchool,2021.0,1157.0,Will Pauling,Homewood-Flossmoor,,WR,70.0,165.0,3.0,0.8511,Flossmoor,IL,USA,"{'latitude': 41.5428123, 'longitude': -87.6847684, 'fipsCode': '17031'}",2021.0,3.0,wisconsin,none,0,0,1327,0.5004132231404959,0.9636363636363636,0.7783471074380165,0.9636363636363636,Impact Player
Will Pauling,Wisconsin,Big Ten,2024,receiving,4683114,WR,28,42,3,407,9.7,will pauling,WR,116870,,HighSchool,2021.0,1157.0,Will Pauling,Homewood-Flossmoor,,WR,70.0,165.0,3.0,0.8511,Flossmoor,IL,USA,"{'latitude': 41.5428123, 'longitude': -87.6847684, 'fipsCode': '17031'}",2021.0,4.0,wisconsin,none,0,0,677,0.5004985044865404,0.7567298105682951,0.6542372881355932,0.7567298105682951,Starter
Will Pauling,Notre Dame,FBS Independents,2025,receiving,4683114,WR,44,26,6,381,14.7,will pauling,WR,116870,,HighSchool,2021.0,1157.0,Will Pauling,Homewood-Flossmoor,,WR,70.0,165.0,3.0,0.8511,Flossmoor,IL,USA,"{'latitude': 41.5428123, 'longitude': -87.6847684, 'fipsCode': '17031'}",2021.0,5.0,notre dame,none,0,0,631,0.5006784260515604,0.7584803256445047,0.655359565807327,0.7584803256445047,Starter
Will Sheppard,Vanderbilt,SEC,2020,receiving,4608679,WR,24,2,0,30,15.0,will sheppard,WR,119301,,HighSchool,2020.0,905.0,Will Sheppard,Mandeville,,WR,74.0,180.0,3.0,0.8611,Mandeville,LA,USA,"{'latitude': 30.3582305, 'longitude': -90.0657477, 'fipsCode': '22103'}",2020.0,1.0,vanderbilt,none,0,0,40,0.5005753739930955,0.3423475258918297,0.40563866513233604,0.3423475258918297,Depth / Rotation
Will Sheppard,Vanderbilt,SEC,2021,receiving,4608679,WR,56,43,4,577,13.4,will sheppard,WR,119301,,HighSchool,2020.0,905.0,Will Sheppard,Mandeville,,WR,74.0,180.0,3.0,0.8611,Mandeville,LA,USA,"{'latitude': 30.3582305, 'longitude': -90.0657477, 'fipsCode': '22103'}",2020.0,2.0,vanderbilt,none,0,0,872,0.5003996802557954,0.920863309352518,0.7526778577138289,0.920863309352518,Impact Player
